objectName,ean,stock,position
SIMPARICA PERROS 10-20kg 40mg 3cp,3411112264377.0,5,"[0, 0, 0]"
SIMPARICA PERROS 20-40kg 80mg 3cp,3411112263806.0,5,"[0, 0, 0]"
"FORTEKOR PLUS- 1,25/2,5mg 30tabs",3700454546532.0,5,"[0, 0, 0]"
PREDNICORTONE 20mg 30cp,9010854000560.0,5,"[0, 0, 0]"
PREDNICORTONE 5mg 30cp,8429949193291.0,5,"[0, 0, 0]"
LETIFEND LEISHMANIA 10ds,8436025862163.0,5,"[0, 0, 0]"
CARPRODYL QUADRI 120mg- x 120cp,7613203000130.0,5,"[0, 0, 0]"
CARPRODYL QUADRI 50mg x- 100cp,8422320326530.0,5,"[0, 0, 0]"
SOLIPHEN 60mg 60cp,8414042005053.0,5,"[0, 0, 0]"
BUTOMIDOR 10ml,52742026862.0,5,"[0, 0, 0]"
TUSHEEL JARABE 150ml,3411112991334.0,5,"[0, 0, 0]"
"STRONGHOLD PLUS GATO 30/5mg 2,5-5kg 6pip",3411112991341.0,5,"[0, 0, 0]"
"PROLONGADOR REGULADOR- FLUJO 59cm 4,1ml",3411112991358.0,5,"[0, 0, 0]"
MERLIN 65cm 2un,8436025881713.0,5,"[0, 0, 0]"
NACOTIL 125ml,8436025881881.0,5,"[0, 0, 0]"
"CANINE GASTROINTESTINAL- BIOME 1,5kg",8436025881812.0,5,"[0, 0, 0]"
VECTRA 3D PERRO 4-10kg  12pip,,5,"[0, 0, 0]"
VECTRA 3D PERRO 10-25kg  12pip,3411113032647.0,5,"[0, 0, 0]"
VECTRA 3D PERRO 25-40kg  12pip,5600788469386.0,5,"[0, 0, 0]"
SIMPARICA TRIO PERROS 5-10kg 3cp,8414042005831.0,5,"[0, 0, 0]"
SIMPARICA TRIO PERROS 10-20kg 3cp,8414042005848.0,5,"[0, 0, 0]"
SIMPARICA TRIO PERROS 20-40kg 3cp,,5,"[0, 0, 0]"
"ZELYS 1,25mg 8x12tabs",7613038944593.0,5,"[0, 0, 0]"
OMNICARDIO PLUS 60cp,8436005141738.0,5,"[0, 0, 0]"
PLASMORAL DIGEST RZ PEQ- Y MED 30 sobres,8436025888286.0,5,"[0, 0, 0]"
PLASMORAL DIGEST RZ GDE-Y GIGAN 30sobres,8719874710039.0,5,"[0, 0, 0]"
EMPAPADORES MEDLINE- 60x90cm 25un,8719874710046.0,5,"[0, 0, 0]"
SANICAT CLUMPING VAINILLA-MANDARINA 8L,52742039848.0,5,"[0, 0, 0]"
PROPLAN FELINE HYDRA-CARE HYDRAT 10x85gr,8414042004896.0,5,"[0, 0, 0]"
DESINCLOR CLORHEXIDINA- ACUOSA 1% 50ml,8435458401369.0,5,"[0, 0, 0]"
LIBRELA 30mg iny 2x1ml,8414042006081.0,5,"[0, 0, 0]"
"DEXACORTONE 0,5mg 10cp",8414042006050.0,5,"[0, 0, 0]"
DEXACORTONE 2mg 10cp,8436588990099.0,5,"[0, 0, 0]"
CANINE I/D STEW POLLO-VEGETALES 12x354gr,8414042006067.0,5,"[0, 0, 0]"
PLASMORAL IMMUNITY 60cp,8414042006005.0,5,"[0, 0, 0]"
PLAQTIV+ ADITIVO PARA- EL AGUA 500ml,8414042006012.0,5,"[0, 0, 0]"
HEPATOSIL PLUS RAZAS- PEQUEÑAS 60cp,8414042003837.0,5,"[0, 0, 0]"
HEPATOSIL PLUS RAZAS- MEDIANAS 30cp,3411112285501.0,5,"[0, 0, 0]"
VETILEA GASTRO GEL 50ml,,5,"[0, 0, 0]"
HEPATOSIL PLUS RAZAS- GRANDES 30cp,,5,"[0, 0, 0]"
VETGASTRIL PLUS 20ml,,5,"[0, 0, 0]"
VETGASTRIL PLUS 50ml,,5,"[0, 0, 0]"
IRC-VET GEL PERRO GATO 50ml,,5,"[0, 0, 0]"
DERMIPRED 20mg 10x10cp,,5,"[0, 0, 0]"
